"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 07 17:40:58 GMT 2025","Wed May 07 17:40:59 GMT 2025","234","","ui.HomePageTests","","ui.HomePageTests","classesTest","classesTest()",""
"broken","Wed May 07 17:41:04 GMT 2025","Wed May 07 17:41:07 GMT 2025","2485","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","disabledInput","disabledInput()",""
"broken","Wed May 07 17:41:01 GMT 2025","Wed May 07 17:41:01 GMT 2025","226","","ui.WebFormTests","","ui.WebFormTests","checkTextareaInput","checkTextareaInput()",""
"broken","Wed May 07 17:41:01 GMT 2025","Wed May 07 17:41:02 GMT 2025","228","","ui.WebFormTests","","ui.WebFormTests","disabledInput","disabledInput()",""
"passed","Wed May 07 17:41:00 GMT 2025","Wed May 07 17:41:01 GMT 2025","758","","ui.NavigationTestsForPOM","","ui.NavigationTestsForPOM","openNavFormTest","openNavFormTest()",""
"broken","Wed May 07 17:40:58 GMT 2025","Wed May 07 17:40:58 GMT 2025","378","","ui.HomePageTests","","ui.HomePageTests","openAllLinksTest2","openAllLinksTest2()",""
"passed","Wed May 07 17:41:08 GMT 2025","Wed May 07 17:41:12 GMT 2025","3813","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","submitFormTest","submitFormTest()",""
"passed","Wed May 07 17:40:59 GMT 2025","Wed May 07 17:41:00 GMT 2025","1502","","ui.HomePageWithPOMTests","","ui.HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"broken","Wed May 07 17:40:46 GMT 2025","Wed May 07 17:40:58 GMT 2025","11513","","ui.HomePageTests","","ui.HomePageTests","openAllLinksTest","openAllLinksTest()",""
"broken","Wed May 07 17:41:02 GMT 2025","Wed May 07 17:41:02 GMT 2025","224","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"broken","Wed May 07 17:41:02 GMT 2025","Wed May 07 17:41:04 GMT 2025","2481","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","checkTextareaInput","checkTextareaInput()",""
"passed","Wed May 07 17:41:08 GMT 2025","Wed May 07 17:41:08 GMT 2025","732","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","openWebFormTest","openWebFormTest()",""
"broken","Wed May 07 17:40:59 GMT 2025","Wed May 07 17:40:59 GMT 2025","224","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Wed May 07 17:41:07 GMT 2025","Wed May 07 17:41:08 GMT 2025","845","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
